Tickers,marketcap
LAZ,5394730241
DRVN,5394647654
BYND,5386115662
NOV,5375919257
AWI,5370453576
BCPC,5351384690
GSHD,5342316800
JWN,5338216876
FATE,5333269941
NRZ,5300347503
SWN,5288035418
BXMT,5285772524
WBS,5278601842
TDC,5275269884
SPSC,5271277454
MXL,5269387502
WTFC,5265765381
TRUP,5247446940
JBT,5243010311
HXL,5215423413
CW,5209070175
AMN,5207815274
MMS,5207273580
SSD,5202766734
STL,5175940919
ICUI,5174274310
IDA,5168846218
NEO,5161290782
MTSI,5149132741
VIRT,5148796829
MTDR,5148681865
SAIC,5141811180
HHC,5130769458
ESNT,5121854829
STEP,5107755057
RDFN,5104240042
FCBP,#N/A
UMBF,5102819358
SKLZ,5100653750
ANAT,5099157315
EVBG,5095671142
SLG,5076565175
AM,5066314093
WING,5064710534
LTHM,5057297376
ROG,5052756824
RLI,5051150655
RHP,5041892267
SEAS,5026276535
FCN,5023602086
AMRC,5019312378
GTES,5018364524
CDK,4998466374
PINC,4988960514
CHX,4976979004
NVTA,4971102560
UBSI,4967859293
MTG,4965134650
CIT,4963443409
SPCE,4958975086
COUR,4952975066
UNVR,4940677464
HIW,4932096750
FOCS,4924305017
AI,4921208842
TMX,4921064126
OCDX,4913086101
BWXT,4908833037
SITM,4906884566
PSB,4884443916
DIOD,4883075397
ADC,4875510625
QTWO,4847611065
AYX,4845884336
KWR,4838667282
KRG,4822774258
FEYE,#N/A
JBLU,4821342331
LIVN,4813713445
CNS,4813637745
NOVA,4811737972
SIGI,4808680131
ATKR,4807129416
OPCH,4802665307
WEN,4796591805
TNL,4792770210
COKE,4788923088
SUM,4775874587
CALX,4775335732
NEOG,4759785480
WD,4752868649
MSM,4743604946
HR,4741993361
MSGS,4736584000
LHCG,4732942710
PZZA,4732034484
R,4725006880
HLF,4709581800
MUSA,4707022804
FI,#N/A
SPR,4701912495
ADPT,4686986948
MGY,4684275485
SLGN,4679184393
TGNA,4677886546
UMPQ,4676864695
NARI,4664523506
SEB,4658225352
SNDR,4647486164
KNSL,4647056626
PRFT,4638061655
NSP,4622134004
IONS,4616154706
MC,4615238288
CRI,4614578965
PK,4608977604
SFBS,4603068095
SEM,4594462825
ORA,4588202092
HWC,4586174118
BRP,4585072280
ENV,4563342269
TGTX,4542731816
ENSG,4539734570
EXLS,4539186734
CARG,4534333552
AEO,4533565160
THG,4522248449
CRUS,4502319338
SSTK,4500672159
LANC,4500602647
LESL,4492038173
FN,4488489487
ETRN,4485034283
ALLK,4480853850
MAC,4475920024
CWST,4472137479
ARVN,4460780412
AXS,4459079658
ADNT,4448961325
OSTK,4433506563
FLS,4433006268
CNMD,4432399609
KFY,4429702437
ONTO,4415348148
POR,4412363623
APPF,4410802122
ASO,4403681239
LC,4376428694
SPB,4368282071
HE,4368075451
DSEY,4364080865
HRB,4357005727
FELE,4356132012
BHF,4354921476
MUR,4348023606
RSI,4339712352
VIR,4333440190
VG,4329923858
SKY,4316187044
ESGR,4307972066
DEN,4299500268
MTH,4298614101
ALRM,4282672870
SXT,4274497985
ABG,4273626532
SONO,4268674355
CHGG,4264352519
HOMB,4256703416
TRIP,4254590037
RIOT,4240086489
OLLI,4240030507
WWE,4238932931
CCMP,4235487480
CWK,4225804428
SGRY,4224057158
EYE,4202031826
SWX,4200989997
SM,4195701709
BECN,4195079235
PNM,4194750005
BNL,4189706194
LXP,4182869335
SAFE,4174118578
GPX,#N/A
SAFM,4170963868
SANA,4154323800
BKH,4150870419
ACIW,4132459139
TRTN,4131150777
CMC,4130224625
PPBI,4119541468
MDC,4118627559
FCEL,4117071683
FUL,4113930969
TTEC,4106385285
BIGC,4090961664
HPP,4089470641
MSP,4084988545
KRTX,4084198693
LOB,4067683631
AAON,4062647157
AIT,4058796142
SHOO,4054184943
ALHC,4050234646
GOLF,4045955368
PFSI,4044178979
APAM,4038925483
DOC,4026892211
BLKB,4023149918
FNB,4018490401
ONEM,4014389492
DCT,4010252315
REZI,4008155393
CBU,3999640965
OUT,3998664654
TMHC,3996408872
CRNC,3991441452
ADS,3984800249
IBP,3971845864
RDN,3966848322
MATX,3952265147
AVT,3951024389
HAIN,3943100103
LMND,3941691645
VSAT,3935854325
BOX,3932634385
CIM,3922810505
JBGS,3917701138
ISBC,3916867525
KMPR,3904483617
HLNE,#N/A
LCII,3888428404
DBRG,3886970190
ALKS,3877693019
AIMC,3851681173
EBC,3847216931
BKU,3838914829
MMSI,3829577445
EPR,3818817144
JAMF,3813520203
RLAY,3804232662
TROX,3803594606
APLS,3797349030
ALSN,3787773256
SMPL,3786438713
UNF,3785522762
VMEO,3783565825
INSM,3771335178
PSN,3761038081
AGO,3752383986
GPI,3747920544
NJR,3745491913
ABCB,3744979895
HCHC,#N/A
KBH,3730921052
DORM,3730344678
RETA,3728341847
RAMP,3726737000
LPRO,3721351918
GATX,3711879913
PCH,3711339809
PHR,3708825485
CCOI,3704866137
NSIT,3679057490
ARNA,3678472605
ETWO,3675028175
SFNC,3673395678
FHB,3668773605
KLIC,3665436869
SFIX,3665094522
NEU,3646058083
APLE,3642249446
VIAV,3624714550
HI,3616130071
CWH,3609940785
XRX,3602372214
FIX,3600163437
OGS,3584468511
HP,3583315728
PD,3579039924
STEM,3576105225
MLHR,#N/A
NMRK,3574826861
FROG,3566459230
CRC,3557662164
SHAK,3553787028
ASB,3552258692
FUBO,3548081676
ATRC,3546395008
CYRX,3540508631
BOOT,3536792570
AX,3523903037
ULCC,3521005215
SITC,3520997408
BOH,3519434746
SKIN,3515593335
EPRT,3513482773
AJRD,3513047007
ZNTL,3512990837
URBN,3505687910
KEX,3505673501
CPE,3494826320
MLI,3492485366
SIX,3489193949
HLIO,3481818952
DAN,3481811085
VC,3471582120
LGIH,3470823571
MNTV,3462659700
FHI,3462483667
HL,3454854989
AEL,3447978187
AEIS,3441497419
CATY,3435672754
PRVA,3435080154
TEX,3432764021
SWTX,3430207551
VCYT,3420723447
AWR,3420296693
LPSN,3417859608
ARNC,3417180682
KTB,3411535840
CBRL,3404752389
NG,3400729625
CRVL,3400263924
NVRO,3394076554
GEF,3376700198
SBRA,3373000500
WBT,3372379758
ARRY,3371701223
FLOW,3369431025
ALGT,3367933408
ENS,3365546085
ALE,3365162636
WTM,3359081939
EAF,3353450767
ITCI,3344881156
NNI,3343866582
SDGR,3339896470
FORM,3339456893
AHCO,3334464731
ACAD,3319609273
PDCO,3305816260
CBT,3305471827
KW,3303821128
CWT,3301152000
NAVI,3300808630
KMT,3298959079
